Enrollment_Method,App_Source,Payment_Method,Replacement_Indicator,Final_Status,Status,Gender,Issue_Age,Age_Group,Marital_Status,Employment,Face_Amount,Earn,Earnings_Range,Business_Bene,Child_Bene,Other_Bene,OthFamily_Bene,Spouse_Bene
P,Agent,ETRANS,1,Complete,1,F,42,40-49,SEPARATED,HOMEMAKER,250000,41667,41-60,0,0,0,0,1
P,Agent,ETRANS,1,Complete,1,F,38,30-39,CIVILUNION,UNSPEC,250000,41667,41-60,0,2,0,0,0
P,Agent,ETRANS,1,Complete,1,F,59,50-59,DIVORCED,RETIRED,100000,16667,0-20K,0,1,0,0,1
P,Agent,ETRANS,0,Complete,1,M,53,50-59,DIVORCED,HOMEMAKER,250000,41667,41-60,0,4,0,0,0
P,Agent,ETRANS,0,Complete,1,F,43,40-49,DIVORCED,NOTACTIVE,500000,83333,80-100,0,0,0,1,0
P,Agent,ETRANS,0,Complete,1,F,43,40-49,DIVORCED,NOTACTIVE,500000,83333,80-100,0,0,0,1,0
P,Agent,CREDCARD,0,Complete,1,M,33,30-39,DIVORCED,ACTIVE,1000000,166667,>100,0,1,0,0,0
O,Direct,CHECK,0,Complete,1,M,39,30-39,DIVORCED,ACTIVE,1000000,166667,>100,0,1,0,0,0
P,Agent,ETRANS,1,Complete,1,F,56,50-59,MARRIED,NOTACTIVE,100000,16667,0-20K,0,0,0,0,1
P,Agent,ETRANS,1,Complete,1,F,32,30-39,MARRIED,HOMEMAKER,100000,16667,0-20K,0,0,0,0,1
P,Agent,CHECK,1,Complete,1,F,58,50-59,MARRIED,RETIRED,100000,16667,0-20K,0,0,0,0,1
P,Agent,CHECK,0,Complete,1,F,35,30-39,MARRIED,HOMEMAKER,100000,16667,0-20K,0,0,0,0,1
P,Agent,ETRANS,0,Complete,1,F,55,50-59,MARRIED,ACTIVE,100000,16667,0-20K,0,0,0,0,1
P,Agent,CHECK,0,Complete,1,F,46,40-49,MARRIED,NOTACTIVE,100000,16667,0-20K,0,2,0,0,0
P,Agent,CREDCARD,0,Complete,1,F,49,40-49,MARRIED,HOMEMAKER,100000,16667,0-20K,0,0,0,0,1
P,Agent,ETRANS,1,Complete,1,F,45,40-49,MARRIED,HOMEMAKER,100000,16667,0-20K,0,0,0,0,1
P,Agent,ETRANS,0,Complete,1,M,46,40-49,MARRIED,NOTACTIVE,100000,16667,0-20K,0,0,0,0,1
P,Direct,ETRANS,0,Complete,1,F,44,40-49,MARRIED,UNSPEC,100000,16667,0-20K,0,0,0,0,1
O,Direct,ETRANS,0,Complete,1,F,38,30-39,MARRIED,HOMEMAKER,100000,16667,0-20K,0,2,0,0,1
P,Agent,CHECK,0,Complete,1,F,55,50-59,MARRIED,RETIRED,100000,16667,0-20K,0,0,0,0,1
P,Agent,ETRANS,0,Complete,1,F,59,50-59,MARRIED,NOTACTIVE,100000,16667,0-20K,0,0,0,0,1
O,Direct,CREDCARD,0,Complete,1,F,49,40-49,MARRIED,ACTIVE,100000,16667,0-20K,0,0,0,0,1
P,Agent,CREDCARD,0,Complete,1,F,55,50-59,MARRIED,HOMEMAKER,100000,16667,0-20K,0,0,0,0,1
P,Agent,ETRANS,0,Complete,1,M,63,60-69,MARRIED,RETIRED,100000,16667,0-20K,0,1,0,0,0
O,Direct,ETRANS,0,Complete,1,M,43,40-49,MARRIED,HOMEMAKER,100000,16667,0-20K,0,1,0,0,1
P,Agent,ETRANS,0,Complete,1,F,57,50-59,MARRIED,HOMEMAKER,100000,16667,0-20K,0,0,0,0,1
P,Agent,ETRANS,0,Complete,1,M,51,50-59,MARRIED,ACTIVE,100000,16667,0-20K,0,0,0,0,1
O,Direct,CHECK,0,Complete,1,M,55,50-59,MARRIED,NOTACTIVE,100000,16667,0-20K,0,0,0,0,1
P,Direct,CREDCARD,0,Complete,1,F,35,30-39,MARRIED,HOMEMAKER,100000,16667,0-20K,0,0,0,0,1
P,Agent,ETRANS,0,Complete,1,F,43,40-49,MARRIED,ACTIVE,100000,16667,0-20K,0,0,0,0,1
P,Agent,ETRANS,1,Complete,1,F,56,50-59,MARRIED,ACTIVE,100000,16667,0-20K,0,0,0,0,1
P,Agent,ETRANS,0,Complete,1,F,61,60-69,MARRIED,NOTACTIVE,100000,16667,0-20K,0,0,0,0,1
P,Agent,ETRANS,0,Complete,1,F,55,50-59,MARRIED,ACTIVE,100000,16667,0-20K,0,0,0,0,1
P,Agent,ETRANS,0,Complete,1,F,54,50-59,MARRIED,HOMEMAKER,100000,16667,0-20K,0,0,0,0,1
P,Agent,ETRANS,0,Complete,1,F,64,60-69,MARRIED,RETIRED,100000,16667,0-20K,0,2,0,0,0
O,Direct,CREDCARD,0,Complete,1,F,48,40-49,MARRIED,HOMEMAKER,100000,16667,0-20K,0,0,0,0,1
P,Agent,ETRANS,0,Complete,1,F,33,30-39,MARRIED,HOMEMAKER,100000,16667,0-20K,0,0,0,0,1
P,Agent,ETRANS,0,Complete,1,F,63,60-69,MARRIED,NOTACTIVE,100000,16667,0-20K,0,2,0,0,0
P,Agent,CREDCARD,0,Complete,1,F,58,50-59,MARRIED,HOMEMAKER,100000,16667,0-20K,0,0,0,0,1
P,Agent,CREDCARD,0,Complete,1,F,57,50-59,MARRIED,HOMEMAKER,100000,16667,0-20K,0,0,0,0,1
O,Direct,CREDCARD,0,Complete,1,F,40,40-49,MARRIED,HOMEMAKER,100000,16667,0-20K,0,0,0,0,1
P,Agent,CREDCARD,1,Complete,1,F,62,60-69,MARRIED,HOMEMAKER,100000,16667,0-20K,0,0,0,0,1
O,Direct,CHECK,0,Complete,1,F,48,40-49,MARRIED,HOMEMAKER,100000,16667,0-20K,0,1,0,0,1
O,Direct,CREDCARD,0,Complete,1,F,56,50-59,MARRIED,HOMEMAKER,100000,16667,0-20K,0,0,0,0,1
P,Direct,ETRANS,0,Complete,1,F,43,40-49,MARRIED,NOTACTIVE,100000,16667,0-20K,0,0,0,0,1
P,Agent,ETRANS,1,Complete,1,F,59,50-59,MARRIED,HOMEMAKER,100000,16667,0-20K,0,0,0,0,1
O,Direct,ETRANS,0,Complete,1,F,40,40-49,MARRIED,HOMEMAKER,100000,16667,0-20K,0,1,0,0,1
P,Direct,CREDCARD,0,Complete,1,F,37,30-39,MARRIED,HOMEMAKER,100000,16667,0-20K,0,0,0,0,1
O,Direct,CREDCARD,0,Complete,1,F,33,30-39,MARRIED,HOMEMAKER,109000,18167,0-20K,0,0,0,0,1
O,Direct,CREDCARD,0,Complete,1,F,50,50-59,MARRIED,HOMEMAKER,150000,25000,21-40,0,0,0,0,1
P,Agent,CHECK,1,Complete,1,F,61,60-69,MARRIED,HOMEMAKER,150000,25000,21-40,0,0,0,0,1
P,Agent,CHECK,0,Complete,1,F,57,50-59,MARRIED,NOTACTIVE,150000,25000,21-40,0,0,0,0,1
P,Agent,CREDCARD,0,Complete,1,F,61,60-69,MARRIED,RETIRED,150000,25000,21-40,0,0,0,0,1
P,Agent,ETRANS,0,Complete,1,F,39,30-39,MARRIED,HOMEMAKER,150000,25000,21-40,0,0,0,0,1
P,Agent,ETRANS,1,Complete,1,F,60,60-69,MARRIED,HOMEMAKER,150000,25000,21-40,0,0,0,0,1
O,Direct,ETRANS,0,Complete,1,F,46,40-49,MARRIED,NOTACTIVE,150000,25000,21-40,0,1,0,0,0
P,Agent,ETRANS,0,Complete,1,F,34,30-39,MARRIED,HOMEMAKER,150000,25000,21-40,0,0,0,0,1
P,Agent,ETRANS,0,Complete,1,F,31,30-39,MARRIED,HOMEMAKER,172000,28667,21-40,0,0,0,0,1
O,Direct,CHECK,0,Complete,1,F,53,50-59,MARRIED,HOMEMAKER,200000,33333,21-40,0,0,0,0,1
P,Agent,CREDCARD,0,Complete,1,F,34,30-39,MARRIED,HOMEMAKER,250000,41667,41-60,0,0,0,0,1
O,Direct,ETRANS,0,Complete,1,F,32,30-39,MARRIED,STUDENT,250000,41667,41-60,0,0,0,0,1
P,Agent,ETRANS,0,Complete,1,F,39,30-39,MARRIED,HOMEMAKER,250000,41667,41-60,0,0,0,0,1
O,Direct,CREDCARD,0,Complete,1,F,32,30-39,MARRIED,HOMEMAKER,250000,41667,41-60,0,0,0,0,1
P,Agent,ETRANS,0,Complete,1,F,32,30-39,MARRIED,HOMEMAKER,250000,41667,41-60,0,0,0,0,1
P,Direct,ETRANS,0,Complete,1,F,37,30-39,MARRIED,NOTACTIVE,250000,41667,41-60,0,0,0,0,1
P,Agent,CREDCARD,0,Complete,1,F,33,30-39,MARRIED,HOMEMAKER,250000,41667,41-60,0,0,0,0,1
P,Agent,CREDCARD,1,Complete,1,F,34,30-39,MARRIED,HOMEMAKER,250000,41667,41-60,0,0,0,0,1
P,Agent,ETRANS,0,Complete,1,F,34,30-39,MARRIED,HOMEMAKER,250000,41667,41-60,0,0,0,0,1
P,Agent,ETRANS,0,Complete,1,F,43,40-49,MARRIED,HOMEMAKER,250000,41667,41-60,0,0,0,0,1
P,Agent,ETRANS,0,Complete,1,F,26,0-29,MARRIED,HOMEMAKER,250000,41667,41-60,0,0,0,0,1
P,Agent,CHECK,1,Complete,1,M,57,50-59,MARRIED,NOTACTIVE,250000,41667,41-60,0,0,0,0,1
P,Agent,ETRANS,0,Complete,1,M,38,30-39,MARRIED,STUDENT,250000,41667,41-60,0,0,0,0,1
O,Direct,CREDCARD,0,Complete,1,F,30,30-39,MARRIED,HOMEMAKER,250000,41667,41-60,0,0,0,0,1
P,Direct,ETRANS,0,Complete,1,F,34,30-39,MARRIED,HOMEMAKER,250000,41667,41-60,0,0,0,0,1
P,Agent,ETRANS,0,Complete,1,F,39,30-39,MARRIED,HOMEMAKER,250000,41667,41-60,0,0,0,0,1
P,Agent,CREDCARD,0,Complete,1,M,34,30-39,MARRIED,ACTIVE,250000,41667,41-60,0,0,0,0,1
P,Direct,ETRANS,0,Complete,1,F,36,30-39,MARRIED,UNSPEC,250000,41667,41-60,0,0,0,0,1
P,Agent,CREDCARD,1,Complete,1,F,56,50-59,MARRIED,RETIRED,250000,41667,41-60,0,0,0,0,1
P,Agent,CREDCARD,0,Complete,1,M,55,50-59,MARRIED,ACTIVE,250000,41667,41-60,0,0,0,0,1
P,Agent,ETRANS,0,Complete,1,F,35,30-39,MARRIED,HOMEMAKER,250000,41667,41-60,0,0,0,0,1
P,Agent,ETRANS,0,Complete,1,F,53,50-59,MARRIED,HOMEMAKER,250000,41667,41-60,0,0,0,0,1
P,Agent,CHECK,1,Complete,1,F,53,50-59,MARRIED,RETIRED,250000,41667,41-60,0,0,0,0,1
P,Agent,ETRANS,0,Complete,1,F,54,50-59,MARRIED,HOMEMAKER,250000,41667,41-60,0,0,0,0,1
P,Agent,ETRANS,1,Complete,1,M,63,60-69,MARRIED,RETIRED,250000,41667,41-60,0,0,0,0,1
P,Agent,CREDCARD,1,Complete,1,F,36,30-39,MARRIED,HOMEMAKER,250000,41667,41-60,0,0,0,0,1
O,Direct,CREDCARD,0,Complete,1,F,38,30-39,MARRIED,HOMEMAKER,250000,41667,41-60,0,0,0,0,1
P,Agent,CHECK,0,Complete,1,F,35,30-39,MARRIED,HOMEMAKER,250000,41667,41-60,0,0,0,0,1
P,Agent,ETRANS,0,Complete,1,F,42,40-49,MARRIED,HOMEMAKER,250000,41667,41-60,0,0,0,0,1
P,Agent,ETRANS,0,Complete,1,F,43,40-49,MARRIED,HOMEMAKER,250000,41667,41-60,0,0,0,0,1
O,Direct,CREDCARD,0,Complete,1,F,37,30-39,MARRIED,HOMEMAKER,250000,41667,41-60,0,0,0,0,1
P,Agent,ETRANS,0,Complete,1,M,38,30-39,MARRIED,STUDENT,250000,41667,41-60,0,0,0,0,1
P,Agent,ETRANS,0,Complete,1,F,37,30-39,MARRIED,HOMEMAKER,250000,41667,41-60,0,0,0,0,1
P,Agent,ETRANS,0,Complete,1,F,33,30-39,MARRIED,HOMEMAKER,250000,41667,41-60,0,2,0,0,0
P,Agent,CHECK,0,Complete,1,F,41,40-49,MARRIED,HOMEMAKER,250000,41667,41-60,0,0,0,0,1
P,Agent,ETRANS,0,Complete,1,F,37,30-39,MARRIED,ACTIVE,250000,41667,41-60,0,0,0,0,1
P,Direct,CREDCARD,0,Complete,1,F,34,30-39,MARRIED,HOMEMAKER,250000,41667,41-60,0,0,0,0,1
P,Agent,CHECK,0,Complete,1,F,34,30-39,MARRIED,HOMEMAKER,250000,41667,41-60,0,0,0,0,1
P,Agent,CREDCARD,1,Complete,1,F,47,40-49,MARRIED,HOMEMAKER,250000,41667,41-60,0,0,0,0,1
P,Agent,CREDCARD,0,Complete,1,F,30,30-39,MARRIED,HOMEMAKER,250000,41667,41-60,0,0,0,0,1
O,Direct,ETRANS,0,Complete,1,M,28,0-29,MARRIED,HOMEMAKER,250000,41667,41-60,0,0,0,0,1
P,Agent,CREDCARD,0,Complete,1,F,35,30-39,MARRIED,ACTIVE,250000,41667,41-60,0,0,0,0,1
P,Agent,CREDCARD,0,Complete,1,F,28,0-29,MARRIED,HOMEMAKER,250000,41667,41-60,0,0,0,0,1
O,Direct,CREDCARD,0,Complete,1,F,46,40-49,MARRIED,HOMEMAKER,250000,41667,41-60,0,0,0,0,1
O,Direct,CREDCARD,0,Complete,1,F,42,40-49,MARRIED,HOMEMAKER,250000,41667,41-60,0,0,0,0,1
P,Agent,CHECK,0,Complete,1,F,48,40-49,MARRIED,HOMEMAKER,250000,41667,41-60,0,0,0,0,1
P,Agent,CREDCARD,0,Complete,1,F,56,50-59,MARRIED,NOTACTIVE,250000,41667,41-60,0,0,0,0,1
P,Agent,CHECK,0,Complete,1,F,59,50-59,MARRIED,HOMEMAKER,250000,41667,41-60,0,3,0,0,1
P,Agent,ETRANS,1,Complete,1,F,51,50-59,MARRIED,HOMEMAKER,250000,41667,41-60,0,0,0,0,1
P,Agent,ETRANS,1,Complete,1,F,30,30-39,MARRIED,HOMEMAKER,250000,41667,41-60,0,0,0,0,1
O,Direct,CREDCARD,0,Complete,1,F,34,30-39,MARRIED,HOMEMAKER,250000,41667,41-60,0,0,0,0,1
P,Agent,CHECK,0,Complete,1,F,43,40-49,MARRIED,HOMEMAKER,250000,41667,41-60,0,0,0,0,1
O,Direct,CREDCARD,0,Complete,1,F,39,30-39,MARRIED,HOMEMAKER,250000,41667,41-60,0,0,0,0,1
P,Agent,ETRANS,0,Complete,1,F,27,0-29,MARRIED,HOMEMAKER,250000,41667,41-60,0,0,0,0,1
P,Agent,CHECK,0,Complete,1,F,42,40-49,MARRIED,HOMEMAKER,250000,41667,41-60,0,0,0,0,1
P,Agent,ETRANS,0,Complete,1,F,43,40-49,MARRIED,NOTACTIVE,250000,41667,41-60,0,0,0,0,1
P,Agent,CREDCARD,0,Complete,1,F,32,30-39,MARRIED,HOMEMAKER,250000,41667,41-60,0,0,0,0,1
